Person,Arrival-BusStop,Start-BusStop,Stop-BusStop,TimeonBus,TimeoffBus,WaitTime,NumberOfTimesLeftbyBus
46,94,0,1,100,300,6,0
47,96,0,1,100,300,4,0
1,4,1,2,250,350,246,0
57,116,1,2,250,350,134,0
66,134,1,2,250,350,116,0
85,176,1,2,250,350,74,0
82,166,0,1,200,400,34,0
29,64,0,2,100,400,36,0
135,277,1,2,300,400,23,0
158,319,1,2,350,450,31,0
116,235,0,1,250,450,15,0
118,239,0,1,250,450,11,0
77,162,0,2,200,500,38,0
79,166,0,2,200,500,34,0
171,352,1,2,400,500,48,0
193,388,1,2,400,500,12,0
138,278,0,1,300,500,22,0
141,287,0,1,300,500,13,0
144,291,0,1,300,500,9,0
155,313,0,1,350,550,37,0
208,419,1,2,450,550,31,0
124,258,0,2,300,600,42,0
149,300,0,2,300,600,0,0
242,493,1,2,500,600,7,0
174,352,0,1,400,600,48,0
198,403,0,1,450,650,47,0
202,406,0,1,450,650,44,0
169,342,0,2,350,650,8,0
263,531,1,2,550,650,19,0
298,598,1,2,600,700,2,0
199,407,0,2,450,750,43,0
224,450,0,2,450,750,0,0
249,502,0,1,550,750,48,0
251,504,0,1,550,750,46,0
255,512,0,1,550,750,38,0
227,458,0,2,500,800,42,0
228,458,0,2,500,800,42,0
237,476,0,2,500,800,24,0
346,694,1,2,700,800,6,0
274,550,0,1,600,800,50,0
286,575,0,1,600,800,25,0
268,540,0,2,550,850,10,0
351,707,1,2,750,850,43,0
373,749,1,2,750,850,1,0
311,626,0,1,650,850,24,0
297,598,0,2,600,900,2,0
381,764,1,2,800,900,36,0
357,716,0,1,750,950,34,0
338,681,0,2,700,1000,19,0
435,872,1,2,900,1000,28,0
453,913,1,2,950,1050,37,0
472,947,1,2,950,1050,3,0
417,837,0,1,850,1050,13,0
452,910,0,1,950,1150,40,0
399,801,0,2,850,1150,49,0
403,810,0,2,850,1150,40,0
427,857,0,2,900,1200,43,0
434,870,0,2,900,1200,30,0
439,881,0,2,900,1200,19,0
469,942,0,2,950,1250,8,0
499,1001,0,1,1050,1250,49,0
501,1004,0,1,1050,1250,46,0
504,1010,0,1,1050,1250,40,0
513,1028,0,1,1050,1250,22,0
515,1035,0,1,1050,1250,15,0
517,1036,0,1,1050,1250,14,0
518,1038,0,1,1050,1250,12,0
478,958,0,2,1000,1300,42,0
533,1069,0,1,1100,1300,31,0
541,1084,0,1,1100,1300,16,0
564,1135,0,1,1150,1350,15,0
0,3,0,3,50,1370,47,0
9,21,0,3,50,1370,29,0
34,72,1,3,250,1370,178,0
40,83,1,3,250,1370,167,0
100,202,1,3,250,1370,48,0
110,225,1,3,250,1370,25,0
6,18,2,3,350,1370,332,0
33,70,2,3,350,1370,280,0
52,111,2,3,350,1370,239,0
63,132,2,3,350,1370,218,0
117,242,2,3,350,1370,108,0
579,1163,0,1,1200,1400,37,0
586,1177,0,1,1200,1400,23,0
593,1188,0,1,1200,1400,12,0
522,1057,0,2,1100,1400,43,0
528,1058,0,2,1100,1400,42,0
530,1064,0,2,1100,1400,36,0
532,1070,0,2,1100,1400,30,0
146,294,1,3,300,1420,6,0
187,376,2,3,400,1420,24,0
194,390,2,3,400,1420,10,0
561,1126,0,2,1150,1450,24,0
571,1145,0,2,1150,1450,5,0
617,1237,0,1,1250,1450,13,0
150,302,1,3,350,1470,48,0
152,306,1,3,350,1470,44,0
23,48,0,4,50,1470,2,0
11,26,1,4,250,1470,224,0
18,38,1,4,250,1470,212,0
24,50,1,4,250,1470,200,0
69,143,1,4,250,1470,107,0
74,150,1,4,250,1470,100,0
87,176,1,4,250,1470,74,0
88,180,1,4,250,1470,70,0
101,206,1,4,250,1470,44,0
13,28,2,4,350,1470,322,0
28,58,2,4,350,1470,292,0
54,117,2,4,350,1470,233,0
75,154,2,4,350,1470,196,0
108,219,2,4,350,1470,131,0
114,232,2,4,350,1470,118,0
126,254,2,4,350,1470,96,0
151,304,2,4,350,1470,46,0
7,16,3,4,1370,1470,1354,0
39,81,3,4,1370,1470,1289,0
20,45,0,0,50,1490,5,0
4,10,1,1,250,1490,240,0
32,68,1,1,250,1490,182,0
41,85,1,0,250,1490,165,0
55,115,1,1,250,1490,135,0
73,149,1,0,250,1490,101,0
102,207,1,0,250,1490,43,0
103,209,1,1,250,1490,41,0
115,232,1,1,250,1490,18,0
3,9,2,1,350,1490,341,0
10,24,2,1,350,1490,326,0
12,26,2,2,350,1490,324,0
31,64,2,2,350,1490,286,0
36,74,2,1,350,1490,276,0
38,83,2,0,350,1490,267,0
68,139,2,2,350,1490,211,0
78,158,2,1,350,1490,192,0
81,164,2,1,350,1490,186,0
93,191,2,0,350,1490,159,0
94,199,2,0,350,1490,151,0
107,218,2,0,350,1490,132,0
113,228,2,2,350,1490,122,0
131,267,2,2,350,1490,83,0
148,299,2,2,350,1490,51,0
2,8,3,3,1370,1490,1362,0
8,19,3,1,1370,1490,1351,0
16,36,3,1,1370,1490,1334,0
17,41,3,3,1370,1490,1329,0
25,52,3,2,1370,1490,1318,0
30,63,3,0,1370,1490,1307,0
35,76,3,1,1370,1490,1294,0
42,88,3,3,1370,1490,1282,0
45,92,3,1,1370,1490,1278,0
5,12,4,3,1470,1490,1458,0
14,31,4,3,1470,1490,1439,0
15,35,4,4,1470,1490,1435,0
19,40,4,0,1470,1490,1430,0
21,46,4,2,1470,1490,1424,0
22,51,4,3,1470,1490,1419,0
26,55,4,0,1470,1490,1415,0
27,56,4,0,1470,1490,1414,0
43,90,4,2,1470,1490,1380,0
44,90,4,2,1470,1490,1380,0
50,104,4,0,1470,1490,1366,0
51,104,4,4,1470,1490,1366,0
53,109,4,1,1470,1490,1361,0
58,118,4,4,1470,1490,1352,0
62,126,4,4,1470,1490,1344,0
70,146,4,3,1470,1490,1324,0
76,154,4,0,1470,1490,1316,0
72,159,4,4,1470,1490,1311,0
84,171,4,1,1470,1490,1299,0
585,1172,0,2,1200,1500,28,0
595,1192,0,2,1200,1500,8,0
598,1198,0,2,1200,1500,2,0
625,1254,0,1,1300,1500,46,0
636,1274,0,1,1300,1500,26,0
646,1294,0,1,1300,1500,6,0
37,82,0,4,100,1520,18,0
127,256,1,4,300,1520,44,0
132,267,1,4,300,1520,33,0
71,145,3,4,1420,1520,1275,1
134,272,3,4,1420,1520,1148,1
166,334,3,4,1420,1520,1086,1
238,478,3,4,1420,1520,942,1
248,499,3,4,1420,1520,921,1
271,544,3,4,1420,1520,876,1
80,162,0,3,200,1520,38,0
90,186,0,3,200,1520,14,0
243,494,2,3,500,1520,6,0
140,284,1,0,300,1540,16,0
156,314,2,1,400,1540,86,1
175,352,2,1,400,1540,48,0
181,368,2,0,400,1540,32,0
191,385,2,0,400,1540,15,0
192,389,2,1,400,1540,11,0
48,103,3,3,1420,1540,1317,1
59,120,3,1,1420,1540,1300,1
60,123,3,1,1420,1540,1297,1
65,133,3,0,1420,1540,1287,1
67,137,3,3,1420,1540,1283,1
91,184,3,2,1420,1540,1236,1
92,187,3,3,1420,1540,1233,1
95,192,3,0,1420,1540,1228,1
97,197,3,2,1420,1540,1223,1
104,210,3,3,1420,1540,1210,1
109,223,3,3,1420,1540,1197,1
123,250,3,3,1420,1540,1170,1
129,261,3,2,1420,1540,1159,1
130,263,3,0,1420,1540,1157,1
147,297,3,3,1420,1540,1123,1
154,313,3,1,1420,1540,1107,1
157,318,3,2,1420,1540,1102,1
165,332,3,2,1420,1540,1088,1
168,340,3,1,1420,1540,1080,1
173,348,3,2,1420,1540,1072,1
182,366,3,0,1420,1540,1054,1
183,368,3,0,1420,1540,1052,1
184,372,3,1,1420,1540,1048,1
190,382,3,2,1420,1540,1038,1
196,395,3,1,1420,1540,1025,1
200,403,3,3,1420,1540,1017,1
212,429,3,2,1420,1540,991,1
213,429,3,0,1420,1540,991,1
221,445,3,3,1420,1540,975,1
226,455,3,1,1420,1540,965,1
231,464,3,3,1420,1540,956,1
235,473,3,3,1420,1540,947,1
244,490,3,2,1420,1540,930,1
246,496,3,0,1420,1540,924,1
261,525,3,1,1420,1540,895,1
266,537,3,0,1420,1540,883,1
270,542,3,1,1420,1540,878,1
83,174,4,2,1520,1540,1346,1
86,174,4,3,1520,1540,1346,1
89,180,4,1,1520,1540,1340,1
96,197,4,1,1520,1540,1323,1
98,200,4,1,1520,1540,1320,1
99,201,4,3,1520,1540,1319,1
106,216,4,1,1520,1540,1304,1
111,224,4,0,1520,1540,1296,1
120,243,4,2,1520,1540,1277,1
650,1302,0,1,1350,1550,48,0
654,1311,0,1,1350,1550,39,0
657,1316,0,1,1350,1550,34,0
659,1320,0,1,1350,1550,30,0
56,117,0,4,150,1570,33,0
64,133,0,4,150,1570,17,0
216,434,2,4,450,1570,16,0
272,546,3,4,1470,1570,924,2
276,557,3,4,1470,1570,913,2
322,646,3,4,1470,1570,824,2
363,729,3,4,1470,1570,741,2
370,742,3,4,1470,1570,728,2
371,744,3,4,1470,1570,726,2
374,754,3,4,1470,1570,716,2
387,779,3,4,1470,1570,691,2
419,840,3,4,1470,1570,630,2
423,849,3,4,1470,1570,621,2
428,862,3,4,1470,1570,608,2
112,226,0,3,250,1570,24,0
49,101,0,0,150,1590,49,0
61,125,0,0,150,1590,25,0
162,326,1,1,350,1590,24,0
206,414,2,0,450,1590,36,0
209,422,2,1,450,1590,28,0
210,423,2,1,450,1590,27,0
215,434,2,0,450,1590,16,0
217,436,2,1,450,1590,14,0
218,441,2,0,450,1590,9,0
220,443,2,0,450,1590,7,0
275,553,3,2,1470,1590,917,2
280,562,3,0,1470,1590,908,2
292,587,3,3,1470,1590,883,2
302,607,3,0,1470,1590,863,2
306,614,3,0,1470,1590,856,2
320,644,3,2,1470,1590,826,2
329,661,3,2,1470,1590,809,2
332,666,3,0,1470,1590,804,2
337,677,3,2,1470,1590,793,2
350,703,3,0,1470,1590,767,2
360,722,3,0,1470,1590,748,2
364,734,3,0,1470,1590,736,2
372,748,3,3,1470,1590,722,2
378,758,3,1,1470,1590,712,2
379,761,3,0,1470,1590,709,2
386,776,3,0,1470,1590,694,2
392,787,3,0,1470,1590,683,2
395,792,3,1,1470,1590,678,2
409,820,3,2,1470,1590,650,2
410,822,3,2,1470,1590,648,2
413,829,3,2,1470,1590,641,2
414,830,3,3,1470,1590,640,2
436,874,3,3,1470,1590,596,2
437,880,3,1,1470,1590,590,2
444,890,3,1,1470,1590,580,2
448,900,3,3,1470,1590,570,2
450,903,3,3,1470,1590,567,2
449,905,3,2,1470,1590,565,2
121,244,4,4,1570,1590,1326,2
119,249,4,1,1570,1590,1321,2
122,253,4,2,1570,1590,1317,2
125,258,4,0,1570,1590,1312,2
128,261,4,2,1570,1590,1309,2
139,280,4,2,1570,1590,1290,2
142,288,4,0,1570,1590,1282,2
143,288,4,0,1570,1590,1282,2
145,293,4,0,1570,1590,1277,2
167,338,4,0,1570,1590,1232,2
170,342,4,0,1570,1590,1228,2
179,361,4,2,1570,1590,1209,2
180,362,4,2,1570,1590,1208,2
176,363,4,2,1570,1590,1207,2
634,1272,0,2,1300,1600,28,0
637,1278,0,2,1300,1600,22,0
640,1282,0,2,1300,1600,18,0
645,1293,0,2,1300,1600,7,0
137,279,0,3,300,1620,21,0
229,460,1,3,500,1620,40,0
234,471,1,3,500,1620,29,0
279,560,2,3,600,1620,40,0
288,578,2,3,600,1620,22,0
291,584,2,3,600,1620,16,0
230,462,2,4,500,1620,38,0
239,480,2,4,500,1620,20,0
464,935,3,4,1520,1620,585,3
177,358,1,1,400,1640,42,0
245,492,2,1,500,1640,8,0
454,912,3,3,1520,1640,608,3
466,934,3,1,1520,1640,586,3
468,941,3,2,1520,1640,579,3
470,943,3,1,1520,1640,577,3
480,962,3,1,1520,1640,558,3
482,967,3,2,1520,1640,553,3
185,372,4,0,1620,1640,1248,3
188,378,4,3,1620,1640,1242,3
195,394,4,0,1620,1640,1226,3
197,396,4,0,1620,1640,1224,3
204,411,4,4,1620,1640,1209,3
211,426,4,1,1620,1640,1194,3
232,467,4,2,1620,1640,1153,3
240,482,4,0,1620,1640,1138,3
247,497,4,0,1620,1640,1123,3
256,515,4,2,1620,1640,1105,3
258,519,4,3,1620,1640,1101,3
260,522,4,3,1620,1640,1098,3
265,533,4,0,1620,1640,1087,3
290,585,4,2,1620,1640,1035,3
304,613,4,4,1620,1640,1007,3
309,620,4,4,1620,1640,1000,3
314,631,4,3,1620,1640,989,3
316,635,4,2,1620,1640,985,3
318,639,4,0,1620,1640,981,3
325,654,4,4,1620,1640,966,3
330,663,4,2,1620,1640,957,3
331,668,4,4,1620,1640,952,3
345,692,4,2,1620,1640,928,3
362,727,4,3,1620,1640,893,3
365,733,4,0,1620,1640,887,3
375,752,4,4,1620,1640,868,3
376,758,4,1,1620,1640,862,3
377,758,4,0,1620,1640,862,3
382,769,4,2,1620,1640,851,3
390,782,4,4,1620,1640,838,3
396,794,4,3,1620,1640,826,3
398,799,4,4,1620,1640,821,3
405,813,4,2,1620,1640,807,3
407,816,4,2,1620,1640,804,3
406,824,4,0,1620,1640,796,3
415,832,4,3,1620,1640,788,3
420,842,4,2,1620,1640,778,3
433,868,4,1,1620,1640,752,3
443,888,4,1,1620,1640,732,3
451,904,4,2,1620,1640,716,3
455,914,4,3,1620,1640,706,3
457,920,4,1,1620,1640,700,3
459,920,4,3,1620,1640,700,3
465,934,4,4,1620,1640,686,3
704,1411,0,1,1450,1650,39,0
706,1423,0,1,1450,1650,27,0
721,1449,0,1,1450,1650,1,0
658,1319,0,2,1350,1650,31,0
153,308,0,3,350,1670,42,0
161,324,0,3,350,1670,26,0
172,347,0,3,350,1670,3,0
262,527,1,3,550,1670,23,0
305,613,2,3,650,1670,37,0
207,416,1,4,450,1670,34,0
222,446,1,4,450,1670,4,0
105,212,0,0,250,1690,38,0
219,440,1,0,450,1690,10,0
250,502,2,1,550,1690,48,0
253,508,2,1,550,1690,42,0
254,510,2,0,550,1690,40,0
257,516,2,0,550,1690,34,0
467,938,4,1,1670,1690,732,4
471,945,4,4,1670,1690,725,4
481,965,4,0,1670,1690,705,4
485,975,4,1,1670,1690,695,4
487,977,4,2,1670,1690,693,4
494,991,4,0,1670,1690,679,4
497,996,4,2,1670,1690,674,4
498,999,4,0,1670,1690,671,4
500,1002,4,1,1670,1690,668,4
502,1010,4,0,1670,1690,660,4
507,1017,4,1,1670,1690,653,4
509,1020,4,1,1670,1690,650,4
510,1022,4,4,1670,1690,648,4
512,1027,4,1,1670,1690,643,4
514,1030,4,1,1670,1690,640,4
520,1044,4,3,1670,1690,626,4
524,1050,4,0,1670,1690,620,4
525,1053,4,2,1670,1690,617,4
526,1054,4,4,1670,1690,616,4
527,1056,4,3,1670,1690,614,4
531,1065,4,0,1670,1690,605,4
534,1072,4,1,1670,1690,598,4
536,1074,4,3,1670,1690,596,4
535,1075,4,4,1670,1690,595,4
538,1080,4,1,1670,1690,590,4
539,1080,4,3,1670,1690,590,4
540,1083,4,4,1670,1690,587,4
542,1087,4,0,1670,1690,583,4
543,1089,4,3,1670,1690,581,4
544,1090,4,4,1670,1690,580,4
545,1094,4,3,1670,1690,576,4
547,1098,4,1,1670,1690,572,4
549,1101,4,3,1670,1690,569,4
550,1103,4,3,1670,1690,567,4
552,1107,4,0,1670,1690,563,4
553,1108,4,1,1670,1690,562,4
554,1110,4,2,1670,1690,560,4
556,1115,4,3,1670,1690,555,4
557,1118,4,1,1670,1690,552,4
558,1119,4,4,1670,1690,551,4
559,1124,4,0,1670,1690,546,4
562,1130,4,2,1670,1690,540,4
566,1134,4,0,1670,1690,536,4
568,1138,4,0,1670,1690,532,4
574,1150,4,3,1670,1690,520,4
572,1151,4,0,1670,1690,519,4
678,1360,0,2,1400,1700,40,0
698,1400,0,2,1400,1700,0,0
728,1458,0,1,1500,1700,42,0
734,1471,0,1,1500,1700,29,0
736,1475,0,1,1500,1700,25,0
744,1491,0,1,1500,1700,9,0
233,468,1,4,500,1720,32,0
236,474,1,4,500,1720,26,0
289,580,2,4,600,1720,20,0
296,595,2,4,600,1720,5,0
178,358,0,3,400,1720,42,0
186,374,0,3,400,1720,26,0
189,383,0,3,400,1720,17,0
285,572,1,3,600,1720,28,0
293,589,1,3,600,1720,11,0
336,674,2,3,700,1720,26,0
133,268,0,0,300,1740,32,0
136,274,0,0,300,1740,26,0
225,452,1,0,500,1740,48,0
241,485,1,1,500,1740,15,0
273,553,2,0,600,1740,47,0
282,567,2,0,600,1740,33,0
284,570,2,0,600,1740,30,0
294,592,2,2,600,1740,8,0
295,592,2,1,600,1740,8,0
576,1154,4,0,1720,1740,566,5
575,1160,4,2,1720,1740,560,5
580,1162,4,3,1720,1740,558,5
581,1169,4,2,1720,1740,551,5
582,1170,4,0,1720,1740,550,5
584,1172,4,1,1720,1740,548,5
588,1178,4,2,1720,1740,542,5
587,1179,4,4,1720,1740,541,5
592,1188,4,2,1720,1740,532,5
594,1191,4,4,1720,1740,529,5
602,1206,4,2,1720,1740,514,5
600,1207,4,2,1720,1740,513,5
603,1208,4,1,1720,1740,512,5
607,1218,4,2,1720,1740,502,5
610,1222,4,0,1720,1740,498,5
611,1227,4,4,1720,1740,493,5
614,1230,4,4,1720,1740,490,5
615,1233,4,3,1720,1740,487,5
616,1234,4,3,1720,1740,486,5
619,1240,4,0,1720,1740,480,5
618,1241,4,3,1720,1740,479,5
