Time, Person, Bus-Stop, Arrival Interval, Arrival time 
2,1,0,1,3
4,2,1,0,4
6,3,3,2,8
8,4,2,1,9
10,5,1,0,10
12,6,4,0,12
14,7,2,4,18
16,8,3,0,16
18,9,3,1,19
20,10,0,1,21
22,11,2,2,24
24,12,1,2,26
26,13,2,0,26
28,14,2,0,28
30,15,4,1,31
32,16,4,3,35
34,17,3,2,36
36,18,3,5,41
38,19,1,0,38
40,20,4,0,40
42,21,0,3,45
44,22,4,2,46
46,23,4,5,51
48,24,0,0,48
50,25,1,0,50
52,26,3,0,52
54,27,4,1,55
56,28,4,0,56
58,29,2,0,58
60,30,0,4,64
62,31,3,1,63
64,32,2,0,64
66,33,1,2,68
68,34,2,2,70
70,35,1,2,72
72,36,3,4,76
74,37,2,0,74
76,38,0,6,82
78,39,2,5,83
80,40,3,1,81
82,41,1,1,83
84,42,1,1,85
86,43,3,2,88
88,44,4,2,90
90,45,4,0,90
92,46,3,0,92
94,47,0,0,94
96,48,0,0,96
98,49,3,5,103
100,50,0,1,101
102,51,4,2,104
104,52,4,0,104
106,53,2,5,111
108,54,4,1,109
110,55,2,7,117
112,56,1,3,115
114,57,0,3,117
116,58,1,0,116
118,59,4,0,118
120,60,3,0,120
122,61,3,1,123
124,62,0,1,125
126,63,4,0,126
128,64,2,4,132
130,65,0,3,133
132,66,3,1,133
134,67,1,0,134
136,68,3,1,137
138,69,2,1,139
140,70,1,3,143
142,71,4,4,146
144,72,3,1,145
146,73,4,13,159
148,74,1,1,149
150,75,1,0,150
152,76,2,2,154
154,77,4,0,154
156,78,0,6,162
158,79,2,0,158
160,80,0,6,166
162,81,0,0,162
164,82,2,0,164
166,83,0,0,166
168,84,4,6,174
170,85,4,1,171
172,86,1,4,176
174,87,4,0,174
176,88,1,0,176
178,89,1,2,180
180,90,4,0,180
182,91,0,4,186
184,92,3,0,184
186,93,3,1,187
188,94,2,3,191
190,95,2,9,199
192,96,3,0,192
194,97,4,3,197
196,98,3,1,197
198,99,4,2,200
200,100,4,1,201
202,101,1,0,202
204,102,1,2,206
206,103,1,1,207
208,104,1,1,209
210,105,3,0,210
212,106,0,0,212
214,107,4,2,216
216,108,2,2,218
218,109,2,1,219
220,110,3,3,223
222,111,1,3,225
224,112,4,0,224
226,113,0,0,226
228,114,2,0,228
230,115,2,2,232
232,116,1,0,232
234,117,0,1,235
236,118,2,6,242
238,119,0,1,239
240,120,4,9,249
242,121,4,1,243
244,122,4,0,244
246,123,4,7,253
248,124,3,2,250
250,125,0,8,258
252,126,4,6,258
254,127,2,0,254
256,128,1,0,256
258,129,4,3,261
260,130,3,1,261
262,131,3,1,263
264,132,2,3,267
266,133,1,1,267
268,134,0,0,268
270,135,3,2,272
272,136,1,5,277
274,137,0,0,274
276,138,0,3,279
278,139,0,0,278
280,140,4,0,280
282,141,1,2,284
284,142,0,3,287
286,143,4,2,288
288,144,4,0,288
290,145,0,1,291
292,146,4,1,293
294,147,1,0,294
296,148,3,1,297
298,149,2,1,299
300,150,0,0,300
302,151,1,0,302
304,152,2,0,304
306,153,1,0,306
308,154,0,0,308
310,155,3,3,313
312,156,0,1,313
314,157,2,0,314
316,158,3,2,318
318,159,1,1,319
320,160,0,4,324
322,161,0,0,322
324,162,0,0,324
326,163,1,0,326
328,164,0,1,329
330,165,0,2,332
332,166,3,0,332
334,167,3,0,334
336,168,4,2,338
338,169,3,2,340
340,170,0,2,342
342,171,4,0,342
344,172,1,8,352
346,173,0,1,347
348,174,3,0,348
350,175,0,2,352
352,176,2,0,352
354,177,4,9,363
356,178,1,2,358
358,179,0,0,358
360,180,4,1,361
362,181,4,0,362
364,182,2,4,368
366,183,3,0,366
368,184,3,0,368
370,185,3,2,372
372,186,4,0,372
374,187,0,0,374
376,188,2,0,376
378,189,4,0,378
380,190,0,3,383
382,191,3,0,382
384,192,2,1,385
386,193,2,3,389
388,194,1,0,388
390,195,2,0,390
392,196,4,2,394
394,197,3,1,395
396,198,4,0,396
398,199,0,5,403
400,200,0,7,407
402,201,3,1,403
404,202,0,1,405
406,203,0,0,406
408,204,0,1,409
410,205,4,1,411
412,206,0,0,412
414,207,2,0,414
416,208,1,0,416
418,209,1,1,419
420,210,2,2,422
422,211,2,1,423
424,212,4,2,426
426,213,3,3,429
428,214,3,1,429
430,215,0,5,435
432,216,2,2,434
434,217,2,0,434
436,218,2,0,436
438,219,2,3,441
440,220,1,0,440
442,221,2,1,443
444,222,3,1,445
446,223,1,0,446
448,224,0,0,448
450,225,0,0,450
452,226,1,0,452
454,227,3,1,455
456,228,0,2,458
458,229,0,0,458
460,230,1,0,460
462,231,2,0,462
464,232,3,0,464
466,233,4,1,467
468,234,1,0,468
470,235,1,1,471
472,236,3,1,473
474,237,1,0,474
476,238,0,0,476
478,239,3,0,478
480,240,2,0,480
482,241,4,0,482
484,242,1,1,485
486,243,1,7,493
488,244,2,6,494
490,245,3,0,490
492,246,2,0,492
494,247,3,2,496
496,248,4,1,497
498,249,3,1,499
500,250,0,2,502
502,251,2,0,502
504,252,0,0,504
506,253,0,8,514
508,254,2,0,508
510,255,2,0,510
512,256,0,0,512
514,257,4,1,515
516,258,2,0,516
518,259,4,1,519
520,260,0,1,521
522,261,4,0,522
524,262,3,1,525
526,263,1,1,527
528,264,1,3,531
530,265,1,4,534
532,266,4,1,533
534,267,3,3,537
536,268,1,1,537
538,269,0,2,540
540,270,1,0,540
542,271,3,0,542
544,272,3,0,544
546,273,3,0,546
548,274,2,5,553
550,275,0,0,550
552,276,3,1,553
554,277,3,3,557
556,278,0,1,557
558,279,0,1,559
560,280,2,0,560
562,281,3,0,562
564,282,0,4,568
566,283,2,1,567
568,284,0,0,568
570,285,2,0,570
572,286,1,0,572
574,287,0,1,575
576,288,1,1,577
578,289,2,0,578
580,290,2,0,580
582,291,4,3,585
584,292,2,0,584
586,293,3,1,587
588,294,1,1,589
590,295,2,2,592
592,296,2,0,592
594,297,2,1,595
596,298,0,2,598
598,299,1,0,598
600,300,0,2,602
602,301,2,5,607
604,302,1,0,604
606,303,3,1,607
608,304,0,0,608
610,305,4,3,613
612,306,2,1,613
614,307,3,0,614
616,308,1,0,616
618,309,2,0,618
620,310,4,0,620
622,311,1,1,623
624,312,0,2,626
626,313,1,0,626
628,314,2,0,628
630,315,4,1,631
632,316,1,0,632
634,317,4,1,635
636,318,1,2,638
638,319,4,1,639
640,320,2,0,640
642,321,3,2,644
644,322,2,0,644
646,323,3,0,646
648,324,2,0,648
650,325,2,0,650
652,326,4,2,654
654,327,2,0,654
656,328,2,4,660
658,329,1,1,659
660,330,3,1,661
662,331,4,1,663
664,332,4,4,668
666,333,3,0,666
668,334,0,1,669
670,335,2,2,672
672,336,1,3,675
674,337,2,0,674
676,338,3,1,677
678,339,0,3,681
680,340,1,2,682
682,341,1,1,683
684,342,1,0,684
686,343,0,1,687
688,344,0,0,688
690,345,2,3,693
692,346,4,0,692
694,347,1,0,694
696,348,2,0,696
698,349,1,1,699
700,350,2,1,701
702,351,3,1,703
704,352,1,3,707
706,353,2,1,707
708,354,0,1,709
710,355,2,0,710
712,356,0,1,713
714,357,1,0,714
716,358,0,0,716
718,359,1,0,718
720,360,1,0,720
722,361,3,0,722
724,362,2,1,725
726,363,4,1,727
728,364,3,1,729
730,365,3,4,734
732,366,4,1,733
734,367,1,0,734
736,368,2,2,738
738,369,0,0,738
740,370,2,1,741
742,371,3,0,742
744,372,3,0,744
746,373,3,2,748
748,374,1,1,749
750,375,3,4,754
752,376,4,0,752
754,377,4,4,758
756,378,4,2,758
758,379,3,0,758
760,380,3,1,761
762,381,2,0,762
764,382,1,0,764
766,383,4,3,769
768,384,1,5,773
770,385,2,1,771
772,386,1,0,772
774,387,3,2,776
776,388,3,3,779
778,389,1,0,778
780,390,0,2,782
782,391,4,0,782
784,392,1,3,787
786,393,3,1,787
788,394,1,0,788
790,395,1,0,790
792,396,3,0,792
794,397,4,0,794
796,398,2,6,802
798,399,4,1,799
800,400,0,1,801
802,401,1,0,802
804,402,2,4,808
806,403,0,0,806
808,404,0,2,810
810,405,1,2,812
812,406,4,1,813
814,407,4,10,824
816,408,4,0,816
818,409,2,0,818
820,410,3,0,820
822,411,3,0,822
824,412,1,0,824
826,413,1,2,828
828,414,3,1,829
830,415,3,0,830
832,416,4,0,832
834,417,2,1,835
836,418,0,1,837
838,419,2,2,840
840,420,3,0,840
842,421,4,0,842
844,422,2,4,848
846,423,2,0,846
848,424,3,1,849
850,425,1,0,850
852,426,1,0,852
854,427,2,0,854
856,428,0,1,857
858,429,3,4,862
860,430,0,0,860
862,431,2,0,862
864,432,2,1,865
866,433,1,1,867
868,434,4,0,868
870,435,0,0,870
872,436,1,0,872
874,437,3,0,874
876,438,3,4,880
878,439,2,8,886
880,440,0,1,881
882,441,1,1,883
884,442,1,2,886
886,443,2,0,886
888,444,4,0,888
890,445,3,0,890
892,446,0,0,892
894,447,1,0,894
896,448,1,2,898
898,449,3,2,900
900,450,3,5,905
902,451,3,1,903
904,452,4,0,904
906,453,0,4,910
908,454,1,5,913
910,455,3,2,912
912,456,4,2,914
914,457,1,0,914
916,458,4,4,920
918,459,1,2,920
920,460,4,0,920
922,461,2,2,924
924,462,1,0,924
926,463,0,1,927
928,464,2,0,928
930,465,3,5,935
932,466,4,2,934
934,467,3,0,934
936,468,4,2,938
938,469,3,3,941
940,470,0,2,942
942,471,3,1,943
944,472,4,1,945
946,473,1,1,947
948,474,2,5,953
950,475,1,0,950
952,476,2,4,956
954,477,0,2,956
956,478,0,2,958
958,479,0,0,958
960,480,2,4,964
962,481,3,0,962
964,482,4,1,965
966,483,3,1,967
968,484,0,0,968
970,485,0,2,972
972,486,4,3,975
974,487,0,1,975
976,488,4,1,977
978,489,0,1,979
980,490,0,6,986
982,491,0,5,987
984,492,0,2,986
986,493,0,0,986
988,494,0,0,988
990,495,4,1,991
992,496,0,0,992
994,497,0,0,994
996,498,4,0,996
998,499,4,1,999
1000,500,0,1,1001
1002,501,4,0,1002
1004,502,0,0,1004
1006,503,4,4,1010
1008,504,0,3,1011
1010,505,0,0,1010
1012,506,0,0,1012
1014,507,0,0,1014
1016,508,4,1,1017
1018,509,0,0,1018
1020,510,4,0,1020
1022,511,4,0,1022
1024,512,0,1,1025
1026,513,4,1,1027
1028,514,0,0,1028
1030,515,4,0,1030
1032,516,0,3,1035
1034,517,0,1,1035
1036,518,0,0,1036
1038,519,0,0,1038
1040,520,0,0,1040
1042,521,4,2,1044
1044,522,0,3,1047
1046,523,0,11,1057
1048,524,0,1,1049
1050,525,4,0,1050
1052,526,4,1,1053
1054,527,4,0,1054
1056,528,4,0,1056
1058,529,0,0,1058
1060,530,0,0,1060
1062,531,0,2,1064
1064,532,4,1,1065
1066,533,0,4,1070
1068,534,0,1,1069
1070,535,4,2,1072
1072,536,4,3,1075
1074,537,4,0,1074
1076,538,0,1,1077
1078,539,4,2,1080
1080,540,4,0,1080
1082,541,4,1,1083
1084,542,0,0,1084
1086,543,4,1,1087
1088,544,4,1,1089
1090,545,4,0,1090
1092,546,4,2,1094
1094,547,0,0,1094
1096,548,4,2,1098
1098,549,0,5,1103
1100,550,4,1,1101
1102,551,4,1,1103
1104,552,0,1,1105
1106,553,4,1,1107
1108,554,4,0,1108
1110,555,4,0,1110
1112,556,0,0,1112
1114,557,4,1,1115
1116,558,4,2,1118
1118,559,4,1,1119
1120,560,4,4,1124
1122,561,0,0,1122
1124,562,0,2,1126
1126,563,4,4,1130
1128,564,0,0,1128
1130,565,0,5,1135
1132,566,0,4,1136
1134,567,4,0,1134
1136,568,0,0,1136
1138,569,4,0,1138
1140,570,0,0,1140
1142,571,0,3,1145
1144,572,0,1,1145
1146,573,4,5,1151
1148,574,0,2,1150
1150,575,4,0,1150
1152,576,4,8,1160
1154,577,4,0,1154
1156,578,0,1,1157
1158,579,0,2,1160
1160,580,0,3,1163
1162,581,4,0,1162
1164,582,4,5,1169
1166,583,4,4,1170
1168,584,0,0,1168
1170,585,4,2,1172
1172,586,0,0,1172
1174,587,0,3,1177
1176,588,4,3,1179
1178,589,4,0,1178
1180,590,0,0,1180
1182,591,0,1,1183
1184,592,0,2,1186
1186,593,4,2,1188
1188,594,0,0,1188
1190,595,4,1,1191
1192,596,0,0,1192
1194,597,0,3,1197
1196,598,0,0,1196
1198,599,0,0,1198
1200,600,0,0,1200
1202,601,4,5,1207
1204,602,0,2,1206
1206,603,4,0,1206
1208,604,4,0,1208
1210,605,0,9,1219
1212,606,0,4,1216
1214,607,0,1,1215
1216,608,4,2,1218
1218,609,0,1,1219
1220,610,0,0,1220
1222,611,4,0,1222
1224,612,4,3,1227
1226,613,0,0,1226
1228,614,0,3,1231
1230,615,4,0,1230
1232,616,4,1,1233
1234,617,4,0,1234
1236,618,0,1,1237
1238,619,4,3,1241
1240,620,4,0,1240
1242,621,4,0,1242
1244,622,0,0,1244
1246,623,0,0,1246
1248,624,0,1,1249
1250,625,4,1,1251
1252,626,0,2,1254
1254,627,0,3,1257
1256,628,4,0,1256
1258,629,4,1,1259
1260,630,0,2,1262
1262,631,4,1,1263
1264,632,4,1,1265
1266,633,0,1,1267
1268,634,0,0,1268
1270,635,0,2,1272
1272,636,0,2,1274
1274,637,0,0,1274
1276,638,0,2,1278
1278,639,4,0,1278
1280,640,0,1,1281
1282,641,0,0,1282
1284,642,4,0,1284
1286,643,4,3,1289
1288,644,4,4,1292
1290,645,4,0,1290
1292,646,0,1,1293
1294,647,0,0,1294
1296,648,0,0,1296
1298,649,0,0,1298
1300,650,4,6,1306
1302,651,0,0,1302
1304,652,4,0,1304
1306,653,4,0,1306
1308,654,4,2,1310
1310,655,0,1,1311
1312,656,4,7,1319
1314,657,4,1,1315
1316,658,0,0,1316
1318,659,0,1,1319
1320,660,0,0,1320
1322,661,4,0,1322
1324,662,0,2,1326
1326,663,0,1,1327
1328,664,4,2,1330
1330,665,4,2,1332
1332,666,0,1,1333
1334,667,0,1,1335
1336,668,0,1,1337
1338,669,0,0,1338
1340,670,4,2,1342
1342,671,4,0,1342
1344,672,4,0,1344
1346,673,4,0,1346
1348,674,4,1,1349
1350,675,4,4,1354
1352,676,0,7,1359
1354,677,4,1,1355
1356,678,0,1,1357
1358,679,0,2,1360
1360,680,4,5,1365
1362,681,4,2,1364
1364,682,4,2,1366
1366,683,4,0,1366
1368,684,0,2,1370
1370,685,4,3,1373
1372,686,4,1,1373
1374,687,4,2,1376
1376,688,0,0,1376
1378,689,0,3,1381
1380,690,4,0,1380
1382,691,4,4,1386
1384,692,4,2,1386
1386,693,4,0,1386
1388,694,0,5,1393
1390,695,4,1,1391
1392,696,0,3,1395
1394,697,0,1,1395
1396,698,4,3,1399
1398,699,0,2,1400
1400,700,4,0,1400
1402,701,0,0,1402
1404,702,0,1,1405
1406,703,0,0,1406
1408,704,4,1,1409
1410,705,0,1,1411
1412,706,0,0,1412
1414,707,0,9,1423
1416,708,4,0,1416
1418,709,0,1,1419
1420,710,4,2,1422
1422,711,0,2,1424
1424,712,4,6,1430
1426,713,0,2,1428
1428,714,0,0,1428
1430,715,0,0,1430
1432,716,4,3,1435
1434,717,4,1,1435
1436,718,0,3,1439
1438,719,0,0,1438
1440,720,4,1,1441
1442,721,0,0,1442
1444,722,0,5,1449
1446,723,0,2,1448
1448,724,4,2,1450
1450,725,4,0,1450
1452,726,4,3,1455
1454,727,0,1,1455
1456,728,0,1,1457
1458,729,0,0,1458
1460,730,4,0,1460
1462,731,0,1,1463
1464,732,0,0,1464
1466,733,4,2,1468
1468,734,0,2,1470
1470,735,0,1,1471
1472,736,0,0,1472
1474,737,0,1,1475
1476,738,4,1,1477
1478,739,0,7,1485
1480,740,4,0,1480
1482,741,0,2,1484
1484,742,0,1,1485
1486,743,4,3,1489
1488,744,0,0,1488
1490,745,0,1,1491
1492,746,0,0,1492
1494,747,0,0,1494
1496,748,4,7,1503
1498,749,4,2,1500
1500,750,0,1,1501
1502,751,0,0,1502
1504,752,0,1,1505
1506,753,0,0,1506
1508,754,0,0,1508
1510,755,4,2,1512
1512,756,4,2,1514
1514,757,4,1,1515
1516,758,0,1,1517
1518,759,4,0,1518
1520,760,4,1,1521
1522,761,0,4,1526
1524,762,4,0,1524
1526,763,4,1,1527
1528,764,4,1,1529
1530,765,0,1,1531
1532,766,4,0,1532
1534,767,0,0,1534
1536,768,0,0,1536
1538,769,0,1,1539
1540,770,0,1,1541
1542,771,0,0,1542
1544,772,0,0,1544
1546,773,0,0,1546
1548,774,4,1,1549
1550,775,0,5,1555
1552,776,4,1,1553
1554,777,4,0,1554
1556,778,0,1,1557
1558,779,4,0,1558
1560,780,4,0,1560
1562,781,0,0,1562
1564,782,0,0,1564
1566,783,4,0,1566
1568,784,0,0,1568
1570,785,0,2,1572
1572,786,0,1,1573
1574,787,0,0,1574
1576,788,0,2,1578
1578,789,4,1,1579
1580,790,0,6,1586
1582,791,0,1,1583
1584,792,0,1,1585
1586,793,0,1,1587
1588,794,4,0,1588
1590,795,0,4,1594
1592,796,4,2,1594
1594,797,4,1,1595
1596,798,4,0,1596
1598,799,0,4,1602
1600,800,4,5,1605
1602,801,4,1,1603
1604,802,4,4,1608
1606,803,0,1,1607
1608,804,0,2,1610
1610,805,4,2,1612
1612,806,0,4,1616
1614,807,4,0,1614
1616,808,0,0,1616
1618,809,0,2,1620
1620,810,0,2,1622
1622,811,0,13,1635
1624,812,0,5,1629
1626,813,0,0,1626
1628,814,4,1,1629
1630,815,4,2,1632
1632,816,0,0,1632
1634,817,4,1,1635
1636,818,0,0,1636
1638,819,0,0,1638
1640,820,4,0,1640
1642,821,0,0,1642
1644,822,0,3,1647
1646,823,0,4,1650
1648,824,0,0,1648
1650,825,0,2,1652
1652,826,4,1,1653
1654,827,0,3,1657
1656,828,4,0,1656
1658,829,0,0,1658
