Bus, Trips, Empty-Trip(s), Left-At-BusStop, Transported, Min-Per(s), Max-Per(s)
9,2,1,38,60,0,52

10,2,1,19,62,0,52

11,2,1,0,60,0,47

12,2,1,0,36,0,24

13,2,1,0,9,0,7

14,2,1,0,13,0,11

15,2,1,0,7,0,6

16,2,1,0,11,0,11

17,2,1,0,9,0,6

18,2,1,0,4,0,4

19,2,1,0,6,0,6

20,2,1,0,7,0,7

21,2,1,0,10,0,10

22,2,1,0,12,0,12

23,2,1,0,8,0,8

24,2,1,0,13,0,13

25,2,1,0,12,0,12

26,2,1,0,11,0,11

27,2,1,0,13,0,13

28,2,1,0,16,0,16

29,2,1,0,15,0,15

1,3,1,305,90,0,52

2,3,1,266,78,0,52

3,3,1,231,83,0,52

4,3,1,189,76,0,52

5,3,1,154,76,0,52

6,3,1,116,74,0,52

7,3,1,86,66,0,52

8,3,1,59,63,0,52

